country,name,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,341,320,11,11416,2,0,2020-05-26T08:00:00
AT,Kärnten,411,396,13,15255,0,0,2020-05-26T08:00:00
AT,Vorarlberg,898,864,19,19543,0,0,2020-05-26T08:00:00
AT,Salzburg,1221,1193,38,31932,2,0,2020-05-26T08:00:00
AT,Steiermark,1835,1605,145,46349,7,1,2020-05-26T08:00:00
AT,Oberösterreich,2290,2204,60,57222,9,1,2020-05-26T08:00:00
AT,Niederösterreich,2847,2604,100,58868,32,11,2020-05-26T08:00:00
AT,Wien,3098,2553,147,95237,74,14,2020-05-26T08:00:00
AT,Tirol,3535,3399,108,69519,13,4,2020-05-26T08:00:00
AT,,16476,15138,641,405341,139,31,2020-05-26T08:00:00
AT,Burgenland,341,320,11,11571,2,0,2020-05-26T09:30:00
AT,Kärnten,411,397,13,15717,0,0,2020-05-26T09:30:00
AT,Vorarlberg,898,863,19,19854,0,0,2020-05-26T09:30:00
AT,Salzburg,1221,1193,38,32097,2,0,2020-05-26T09:30:00
AT,Steiermark,1835,1613,147,46945,6,1,2020-05-26T09:30:00
AT,Oberösterreich,2290,2207,60,57949,7,1,2020-05-26T09:30:00
AT,Niederösterreich,2847,2621,100,60525,32,13,2020-05-26T09:30:00
AT,Wien,3098,2564,147,96431,66,13,2020-05-26T09:30:00
AT,Tirol,3535,3404,108,70096,12,4,2020-05-26T09:30:00
AT,,16476,15182,643,411185,127,32,2020-05-26T09:30:00
AT,Burgenland,341,320,11,11571,2,0,2020-05-26T15:00:00
AT,Kärnten,413,397,13,15717,0,0,2020-05-26T15:00:00
AT,Vorarlberg,898,863,19,19854,0,0,2020-05-26T15:00:00
AT,Salzburg,1220,1193,38,32097,2,0,2020-05-26T15:00:00
AT,Steiermark,1836,1613,147,46945,6,1,2020-05-26T15:00:00
AT,Oberösterreich,2291,2207,60,57949,7,1,2020-05-26T15:00:00
AT,Niederösterreich,2851,2621,100,60525,32,13,2020-05-26T15:00:00
AT,Wien,3113,2564,147,96431,66,13,2020-05-26T15:00:00
AT,Tirol,3534,3404,108,70096,12,4,2020-05-26T15:00:00
AT,,16497,15182,643,411185,127,32,2020-05-26T15:00:00
